# Thu, 24 Oct 2019 03:35:06 PM +0000
#  Spec File Name :YbAl3_1.spec_supplementary.dat
#  Scan numbers :[129, 132, 134]
#  Energy Shift of Elastic Peak (meV) :[0.23516477279430179, -1.0949889876455359, -0.6295924678368008]
#  Q_5 [2.133, 2.131, 0.100] 
#   T_sample =9.7551 K
3.015967856089601185e+01 4.010186521122093062e+00 2.002545011010262499e+00
3.066837856089601289e+01 1.014240347444413937e+00 1.007095004180049491e+00
3.116711189422934680e+01 5.078552586872945085e+00 2.253564418176889905e+00
3.165584522756267916e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.216454522756267664e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.266324522756267612e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.316197856089601004e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.366067856089600951e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.416937856089601411e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.466811189422934802e+01 2.058578638852503140e+00 1.434774769381070181e+00
3.515684522756267683e+01 2.067444549162747780e+00 1.437861102180161055e+00
3.566554522756268142e+01 3.020179826865873718e+00 1.737866458294731409e+00
3.616424522756267379e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.666294522756268037e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.716167856089601429e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.767037856089601178e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.816911189422934569e+01 2.077744525030986722e+00 1.441438352837535186e+00
3.865784522756268160e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.916647856089601731e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.966521189422934413e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.010629072774116821e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.061499072774116570e+01 0.000000000000000000e+00 0.000000000000000000e+00
